# SERVED MODEL: claude-opus-5-5 — X.W12.u3 the full UIA-V disposition table (every `#### UIA-V-` row of audit/UI-AUDIT-value.md: 676 numbered + 3 held). Columns: id sev page owner bucket disposition. sha = cured by that commit; O-59 = glass relay X-ALL-BK-UI-AUDIT.md (other O-rows named); HONEST-RED <ID> / R-5 HOLD / VERDICT = standing honest-RED or measured verdict; SUPPLEMENT X-W12S = consumer residue routed row by row to the X-W12 supplement (§0bl). Built by build-disposition-u3.py.
UIA-V-224	MEDIUM	dock-view-select	GLASS	O-row	O-59
UIA-V-225	MEDIUM	dock-view-select	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-226	MEDIUM	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-227	MEDIUM	dock-view-select	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-228	MEDIUM	dock-view-select	CONSUMER	sha	038c795c [.e]
UIA-V-229	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-230	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-231	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-232	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-233	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-234	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-235	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-236	MEDIUM	dock-action-bar-color	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-237	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-238	MEDIUM	dock-action-bar-color	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-239	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-240	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-241	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-242	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-243	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-244	MEDIUM	dock-color-input	CONSUMER	sha+supplement	04b1e822+13b81c30 (shim + keyframes) · SUPPLEMENT X-W12S (vocabulary half, with V-501) [.e]
UIA-V-245	MEDIUM	dock-color-input	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-246	MEDIUM	dock-slug-edit-layer	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-247	MEDIUM	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-248	MEDIUM	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-249	MEDIUM	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-250	MEDIUM	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-251	MEDIUM	dock-slug-edit-layer	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-252	MEDIUM	dock-slug-edit-layer	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-253	MEDIUM	dock-mobile-menu	GLASS	O-row	O-59
UIA-V-254	MEDIUM	dock-mobile-menu	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-255	MEDIUM	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-256	MEDIUM	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-257	MEDIUM	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-258	MEDIUM	dock-mobile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-259	MEDIUM	dock-mobile-menu	GLASS	O-row	O-59
UIA-V-260	MEDIUM	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-261	MEDIUM	dock-profile-menu	GLASS	O-row	O-59
UIA-V-262	MEDIUM	dock-profile-menu	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-263	MEDIUM	dock-profile-menu	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-264	MEDIUM	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-265	MEDIUM	dock-profile-menu	CONSUMER	sha	b4173137 [.u3]
UIA-V-266	MEDIUM	dock-profile-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-267	MEDIUM	dock-mbabb-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-268	MEDIUM	dock-mbabb-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-269	MEDIUM	dock-mbabb-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-270	MEDIUM	dock-mbabb-menu	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-271	MEDIUM	dock-mbabb-menu	GLASS	O-row	O-59
UIA-V-272	MEDIUM	dock-mbabb-menu	CONSUMER	honest-RED/verdict	R-5 HOLD → X-W7L [.e]
UIA-V-273	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-274	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-275	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-276	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-277	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-278	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-279	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-280	MEDIUM	palettes-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-281	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-282	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-283	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-284	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-285	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-286	MEDIUM	palette-scene-actions	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-287	MEDIUM	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-288	MEDIUM	palette-card-menu	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-289	MEDIUM	palette-card-menu	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-290	MEDIUM	palette-card-menu	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-291	MEDIUM	palette-card-menu	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-292	MEDIUM	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-293	MEDIUM	palette-card-menu	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-294	MEDIUM	palettes-delete-all-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-295	MEDIUM	palettes-delete-all-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-296	MEDIUM	palettes-delete-all-dialog	GLASS	O-row	O-59 [.u1]
UIA-V-297	MEDIUM	palettes-delete-all-dialog	GLASS	O-row	O-59 [.u1]
UIA-V-298	MEDIUM	palettes-delete-all-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-299	MEDIUM	browse-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-300	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-301	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-302	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-303	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-304	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-305	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-306	MEDIUM	browse-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-307	MEDIUM	browse-view	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-308	MEDIUM	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-309	MEDIUM	browse-search-filter	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-310	MEDIUM	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-311	MEDIUM	browse-search-filter	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-312	MEDIUM	browse-search-filter	GLASS	O-row	O-59 [.u1]
UIA-V-313	MEDIUM	browse-search-filter	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-314	MEDIUM	browse-search-filter	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-315	MEDIUM	tag-edit-popover	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-316	MEDIUM	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-317	MEDIUM	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-318	MEDIUM	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-319	MEDIUM	tag-edit-popover	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-320	MEDIUM	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-321	MEDIUM	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-322	MEDIUM	version-history-drawer	CONSUMER	sha	5e0be623 (italic caption: glass repin) [.u1]
UIA-V-323	MEDIUM	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-324	MEDIUM	version-history-drawer	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-325	MEDIUM	version-history-drawer	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-326	MEDIUM	version-history-drawer	GLASS	O-row	O-59 [.u1]
UIA-V-327	MEDIUM	flag-report-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-328	MEDIUM	flag-report-dialog	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-329	MEDIUM	flag-report-dialog	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-330	MEDIUM	flag-report-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-331	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-332	MEDIUM	migrate-palettes-dialog	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-333	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-334	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-335	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-336	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-337	MEDIUM	migrate-palettes-dialog	GLASS	O-row	O-59 [.u1]
UIA-V-338	MEDIUM	migrate-palettes-dialog	CONSUMER	supplement	RESIDUE-U1 → SUPPLEMENT X-W12S [.u1]
UIA-V-339	MEDIUM	migrate-palettes-dialog	CONSUMER	sha	5e0be623 [.u1]
UIA-V-340	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-341	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-342	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-343	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-344	MEDIUM	extract-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-345	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-346	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-347	MEDIUM	extract-view	GLASS	O-row	O-59 [.u2]
UIA-V-348	MEDIUM	extract-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-349	MEDIUM	extract-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-350	MEDIUM	mix-view	GLASS	O-row	O-59 [.u2]
UIA-V-351	MEDIUM	mix-view	CONSUMER	sha	c6e5e375 [.u2]
UIA-V-352	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-353	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-354	MEDIUM	mix-view	GLASS	O-row	O-59 [.u2]
UIA-V-355	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-356	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-357	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-358	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-359	MEDIUM	mix-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-360	MEDIUM	mix-view	GLASS	O-row	O-59 [.u2]
UIA-V-361	MEDIUM	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-362	MEDIUM	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-363	MEDIUM	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-364	MEDIUM	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-365	MEDIUM	generate-view	GLASS	O-row	O-59 [.u2]
UIA-V-366	MEDIUM	generate-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-367	MEDIUM	generate-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-368	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-369	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-370	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-371	MEDIUM	gradient-view	CONSUMER	honest-RED/verdict	R-5 HOLD → X-W7L (--radius-input removed at glass 8) [.u2]
UIA-V-372	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-373	MEDIUM	gradient-view	CONSUMER	sha+supplement	5ccc0e3e (selection) · RESIDUE-U2 → SUPPLEMENT X-W12S (help-line block-size jump) [.u2]
UIA-V-374	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-375	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-376	MEDIUM	gradient-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-377	MEDIUM	gradient-easing-authoring	GLASS	O-row	O-59 [.u2]
UIA-V-378	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-379	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-380	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-381	MEDIUM	gradient-easing-authoring	GLASS	O-row	O-59 [.u2]
UIA-V-382	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-383	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-384	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-385	MEDIUM	gradient-easing-authoring	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-386	MEDIUM	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-387	MEDIUM	atmosphere-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-388	MEDIUM	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-389	MEDIUM	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-390	MEDIUM	atmosphere-view	CONSUMER	sha	7513b817 [.u2]
UIA-V-391	MEDIUM	atmosphere-view	CONSUMER	sha+supplement	5ead5816 (copy) · RESIDUE-U2 → SUPPLEMENT X-W12S (Reset modified state) [.u2]
UIA-V-392	MEDIUM	atmosphere-view	GLASS	O-row	O-59 [.u2]
UIA-V-393	MEDIUM	atmosphere-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-394	MEDIUM	atmosphere-view	CONSUMER	supplement	RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-395	MEDIUM	atmosphere-view	GLASS+CONSUMER	O-row+supplement	O-59 + RESIDUE-U2 → SUPPLEMENT X-W12S [.u2]
UIA-V-396	MEDIUM	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-397	MEDIUM	blob-view	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-398	MEDIUM	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-399	MEDIUM	blob-view	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-400	MEDIUM	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-401	MEDIUM	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-402	MEDIUM	blob-view	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-403	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-404	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-405	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-406	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-407	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-408	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-409	MEDIUM	admin-users	CONSUMER	sha	4d63f788 [.u3]
UIA-V-410	MEDIUM	admin-users	GLASS	O-row	O-59
UIA-V-411	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-412	MEDIUM	admin-users	CONSUMER	sha	7465354d (D5: the scene row is top-anchored, so a state change no longer re-centres the card) [.b, mapped by .u3]
UIA-V-413	MEDIUM	admin-users	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-414	MEDIUM	admin-names	CONSUMER	sha	4d63f788 [.u3]
UIA-V-415	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-416	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-417	MEDIUM	admin-names	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-418	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-419	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-420	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-421	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-422	MEDIUM	admin-names	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-423	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-424	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-425	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-426	MEDIUM	admin-audit	CONSUMER	sha	4d63f788 [.u3]
UIA-V-427	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-428	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-429	MEDIUM	admin-audit	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-430	MEDIUM	admin-audit	CONSUMER	sha	7465354d (D5: the scene row is top-anchored, so a state change no longer re-centres the card) [.b, mapped by .u3]
UIA-V-431	MEDIUM	admin-audit	GLASS	O-row	O-59
UIA-V-432	MEDIUM	admin-flagged	CONSUMER	sha	4d63f788 [.u3]
UIA-V-433	MEDIUM	admin-flagged	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-434	MEDIUM	admin-flagged	CONSUMER	sha	426bf798 (icon-only rung: 44x44 at 390, measured probe-u3-admin-icons) [.u3]
UIA-V-435	MEDIUM	admin-flagged	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-436	MEDIUM	admin-flagged	GLASS+CONSUMER	O-row+supplement	O-59 (glass half) · RESIDUE-U3 → SUPPLEMENT X-W12S (consumer half)
UIA-V-437	MEDIUM	admin-flagged	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-438	MEDIUM	admin-tags	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-439	MEDIUM	admin-tags	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-440	MEDIUM	admin-tags	GLASS	O-row	O-59
UIA-V-441	MEDIUM	admin-tags	GLASS	O-row	O-59
UIA-V-442	MEDIUM	admin-tags	CONSUMER	supplement	RESIDUE-U3 → SUPPLEMENT X-W12S
UIA-V-443	MEDIUM	admin-tags	CONSUMER	sha	7465354d (D5: the scene row is top-anchored, so a state change no longer re-centres the card) [.b, mapped by .u3]
