# SERVED MODEL: claude-opus-5-5 — X.W12U.s2 disposition slice (131 supplement rows, .s2 pages). Built by build-s2.py.
id	sev	page	owner	s2_disposition	evidence_or_route	title
UIA-V-572	LOW	version-history-drawer	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The scroll body cuts hard under the header with no edge fade
UIA-V-573	LOW	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions (name only where it differs; hash line gone) HEAD RED → GREEN light+dark	Row repeats the palette name on every version and shows a raw fork hash
UIA-V-574	LOW	version-history-drawer	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	the drawer title is now 'Version history' (e42b3585); the menu's 'Versions' and the host copy are the remaining two	One verb carries three labels: 'Versions' / 'Version history' / 'Version History'
UIA-V-575	LOW	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions ordinal HEAD RED → GREEN light+dark	The ordinal is reinvented as total - i instead of the server's revisionNo
UIA-V-576	LOW	version-history-drawer	CONSUMER	CURED e42b3585	W12U-evidence/s2/probe-versions (header-line action) HEAD RED → GREEN light+dark	The Revert pill is a stadium sitting inside an 8px-radius row
UIA-V-577	LOW	version-history-drawer	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	open at HEAD; not cured in .s2 (routed by class)	The same release hash doubles as the v-for key while a revert duplicates payloads
UIA-V-578	LOW	flag-report-dialog	CONSUMER	HONEST-RED W12U-S2-CARRY → .m	open at HEAD; not cured in .s2 (routed by class)	Radio rows: hand-rolled labels, and 44px hit boxes overlap on a 31px row pitch
UIA-V-579	LOW	flag-report-dialog	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	open at HEAD; not cured in .s2 (routed by class)	Type voice changes along the report flow: mono in the menu and verdict, sans in the dialog
UIA-V-580	LOW	flag-report-dialog	CONSUMER	CURED b37f115f	W12U-evidence/source: paletteSlug prop + host binding deleted (b37f115f) HEAD RED → GREEN light+dark	Dead prop `paletteSlug`
UIA-V-582	LOW	migrate-palettes-dialog	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	the description override is dropped (b906c56e); the title keeps the ruled display voice (T.W4-6 · O-10d), HELD with A2-VA-L3-6	Dialog title and description type are overridden to display voice at smaller rungs, and the description is muted
UIA-V-584	LOW	migrate-palettes-dialog	CONSUMER	HONEST-RED W12U-S2-CARRY → .k	Cancel now drops the pending closure (b906c56e, V-586); the typed slug is not restored to the layer	Esc or ✕ cancels the switch silently and throws away the typed slug
UIA-V-585	LOW	migrate-palettes-dialog	CONSUMER	HONEST-RED W12U-S2-CARRY → .h	publish/transfer tallies reach the identity line; a plain switch/regenerate success is not yet said	The success outcome is invisible too
UIA-V-586	LOW	migrate-palettes-dialog	CONSUMER	CURED b906c56e	W12U-evidence/source: onMigrateDismiss drops the closure (b906c56e) HEAD RED → GREEN light+dark	The ✕ and Esc leave the migration closure pending, and a later Regenerate can run a stale switch closure
